source,dataset,severity,seed,status,validation_passed,achieved_rate,excluded_columns
openml,MagicTelescope,0.2,3,OK,True,"{'fLength:': 0.20483616611179253, 'fWidth:': 0.20711407043981075, 'fSize:': 0.19835289994743296, 'fConc:': 0.19046784650429296, 'fConc1:': 0.20010513404590854, 'fAsym:': 0.20133169791484143, 'fM3Long:': 0.2025582617837743, 'fM3Trans:': 0.21307166637462766, 'fAlpha:': 0.1994042404065183, 'fDist:': 0.20290870860346943}",
openml,MagicTelescope,0.25,1,OK,True,"{'fLength:': 0.24951813562291922, 'fWidth:': 0.24671456106535833, 'fSize:': 0.2610828806728579, 'fConc:': 0.24706500788505345, 'fConc1:': 0.24180830558962677, 'fAsym:': 0.2421587524093219, 'fM3Long:': 0.2437357630979499, 'fM3Trans:': 0.25127036972139477, 'fAlpha:': 0.24618889083581566, 'fDist:': 0.25372349745926054}",
openml,MagicTelescope,0.25,2,OK,True,"{'fLength:': 0.25459961450849833, 'fWidth:': 0.25302260381987035, 'fSize:': 0.24268442263886456, 'fConc:': 0.24916768880322412, 'fConc1:': 0.25372349745926054, 'fAsym:': 0.2428596460487121, 'fM3Long:': 0.24461188014718765, 'fM3Trans:': 0.24759067811459612, 'fAlpha:': 0.25127036972139477, 'fDist:': 0.26125810408270544}",
openml,MagicTelescope,0.25,3,OK,True,"{'fLength:': 0.2558261783774312, 'fWidth:': 0.2593306465743823, 'fSize:': 0.24671456106535833, 'fConc:': 0.23479936919572456, 'fConc1:': 0.2509199229016997, 'fAsym:': 0.25074469949185213, 'fM3Long:': 0.24864201857368146, 'fM3Trans:': 0.2633607850008761, 'fAlpha:': 0.255125284738041, 'fDist:': 0.2505694760820046}",
openml,bank-marketing,0.05,1,OK,True,"{'V1': 0.051091123562370985, 'V6': 0.050353877912120315, 'V10': 0.05101739899734591, 'V13': 0.05005897965202005, 'V14': 0.05005897965202005, 'V15': 0.0475523444411678}",
openml,bank-marketing,0.05,2,OK,True,"{'V1': 0.049248009436744324, 'V6': 0.04828959009141846, 'V10': 0.04740489531111766, 'V13': 0.055219699203774696, 'V14': 0.053818932468298435, 'V15': 0.0468888233559422}",
openml,bank-marketing,0.05,3,OK,True,"{'V1': 0.05404010616337364, 'V6': 0.05086994986729578, 'V10': 0.05145974638749631, 'V13': 0.05227071660277204, 'V14': 0.05116484812739605, 'V15': 0.05042760247714539}",
openml,bank-marketing,0.1,1,OK,True,"{'V1': 0.10085520495429078, 'V6': 0.10026540843409024, 'V10': 0.10085520495429078, 'V13': 0.10070775582424063, 'V14': 0.09930698908876438, 'V15': 0.09938071365378945}",
openml,bank-marketing,0.1,2,OK,True,"{'V1': 0.10350928929519315, 'V6': 0.10070775582424063, 'V10': 0.10151872603951637, 'V13': 0.10291949277499263, 'V14': 0.1010026540843409, 'V15': 0.09739015039811265}",
openml,bank-marketing,0.1,3,OK,True,"{'V1': 0.10586847537599528, 'V6': 0.09820112061338838, 'V10': 0.10454143320554408, 'V13': 0.10527867885579476, 'V14': 0.10048658212916543, 'V15': 0.09849601887348865}",
openml,bank-marketing,0.15,1,OK,True,"{'V1': 0.15113535830138602, 'V6': 0.1501032143910351, 'V10': 0.14973459156590976, 'V13': 0.15305219699203776, 'V14': 0.15069301091123563, 'V15': 0.1494396933058095}",
openml,bank-marketing,0.15,2,OK,True,"{'V1': 0.15393689177233855, 'V6': 0.14884989678560898, 'V10': 0.15157770569153642, 'V13': 0.15260984960188734, 'V14': 0.15172515482158655, 'V15': 0.14671188439988203}",
openml,bank-marketing,0.15,3,OK,True,"{'V1': 0.1553376585078148, 'V6': 0.14840754939545855, 'V10': 0.15526393394278973, 'V13': 0.1543055145974639, 'V14': 0.15585373046299028, 'V15': 0.14980831613093482}",
openml,bank-marketing,0.2,1,OK,True,"{'V1': 0.20038336773813034, 'V6': 0.20001474491300503, 'V10': 0.19625479209672664, 'V13': 0.2006782659982306, 'V14': 0.19979357121792982, 'V15': 0.20156296077853142}",
openml,bank-marketing,0.2,2,OK,True,"{'V1': 0.202226481863757, 'V6': 0.20053081686818047, 'V10': 0.19728693600707756, 'V13': 0.20126806251843113, 'V14': 0.19927749926275434, 'V15': 0.19551754644647595}",
openml,bank-marketing,0.2,3,OK,True,"{'V1': 0.20421704511943378, 'V6': 0.19603361840165143, 'V10': 0.20347979946918313, 'V13': 0.20613388381008552, 'V14': 0.2085667944559127, 'V15': 0.19935122382777942}",
openml,bank-marketing,0.25,1,OK,True,"{'V1': 0.24941020347979947, 'V6': 0.24948392804482453, 'V10': 0.24638749631377174, 'V13': 0.2508109702152757, 'V14': 0.25014744913005016, 'V15': 0.25184311412562665}",
openml,bank-marketing,0.25,2,OK,True,"{'V1': 0.25103214391035095, 'V6': 0.2508846947803008, 'V10': 0.24491300501327043, 'V13': 0.2553081686818048, 'V14': 0.24705101739899735, 'V15': 0.24388086110291948}",
openml,bank-marketing,0.25,3,OK,True,"{'V1': 0.2553081686818048, 'V6': 0.24351223827779417, 'V10': 0.25383367738130347, 'V13': 0.2545709230315541, 'V14': 0.25796225302270714, 'V15': 0.2497788263049248}",
openml,churn,0.05,1,OK,True,"{'account_length': 0.04730179880079947, 'number_vmail_messages': 0.059293804130579615, 'total_day_minutes': 0.051299133910726186, 'total_day_calls': 0.04063957361758828, 'total_eve_minutes': 0.047968021319120584, 'total_eve_calls': 0.04730179880079947, 'total_night_minutes': 0.05463024650233178, 'total_night_calls': 0.049966688874083946, 'total_intl_minutes': 0.060626249167221855, 'total_intl_calls': 0.04596935376415723}",
openml,churn,0.05,2,OK,True,"{'account_length': 0.04197201865423051, 'number_vmail_messages': 0.04397068620919387, 'total_day_minutes': 0.051299133910726186, 'total_day_calls': 0.049966688874083946, 'total_eve_minutes': 0.04063957361758828, 'total_eve_calls': 0.060626249167221855, 'total_night_minutes': 0.05063291139240506, 'total_night_calls': 0.05996002664890073, 'total_intl_minutes': 0.04530313124583611, 'total_intl_calls': 0.04730179880079947}",
openml,churn,0.05,3,OK,True,"{'account_length': 0.047968021319120584, 'number_vmail_messages': 0.061958694203864094, 'total_day_minutes': 0.057961359093937376, 'total_day_calls': 0.060626249167221855, 'total_eve_minutes': 0.0519653564290473, 'total_eve_calls': 0.0626249167221852, 'total_night_minutes': 0.051299133910726186, 'total_night_calls': 0.04930046635576282, 'total_intl_minutes': 0.04397068620919387, 'total_intl_calls': 0.05063291139240506}",
openml,churn,0.1,1,OK,True,"{'account_length': 0.09260493004663557, 'number_vmail_messages': 0.11125916055962691, 'total_day_minutes': 0.10193204530313124, 'total_day_calls': 0.09526982011992005, 'total_eve_minutes': 0.09860093271152565, 'total_eve_calls': 0.09260493004663557, 'total_night_minutes': 0.10792804796802132, 'total_night_calls': 0.10326449033977349, 'total_intl_minutes': 0.10326449033977349, 'total_intl_calls': 0.10659560293137908}",
